Good CDNs
r1---sn-npoe7nes.googlevideo.com 33.46967697143555
r6---sn-nu5gi0c-npoee.googlevideo.com 33.730268478393555
r1---sn-npoe7ne6.googlevideo.com 41.069746017456055
r6---sn-npoe7n7s.googlevideo.com 33.913373947143555
r4---sn-npoe7n7s.googlevideo.com 37.893056869506836
r1---sn-npoeen76.googlevideo.com 35.24637222290039
r4---sn-npoe7ne6.googlevideo.com 36.63015365600586
r6---sn-npoeen7y.googlevideo.com 36.54980659484863
r2---sn-npoe7ney.googlevideo.com 37.848472595214844
r1---sn-npoeene6.googlevideo.com 36.544084548950195
r3---sn-npoe7ner.googlevideo.com 40.85969924926758
r1---sn-npoe7ner.googlevideo.com 35.021305084228516
r2---sn-npoeenek.googlevideo.com 40.7109260559082
r3---sn-npoe7nek.googlevideo.com 40.96531867980957
r4---sn-npoe7ned.googlevideo.com 35.58468818664551
r1---sn-npoe7n7s.googlevideo.com 35.3245735168457
Bad CDNs
r5---sn-hgn7rn7y.googlevideo.com 291.4085388183594
r1---sn-t0a7sn7d.googlevideo.com 204.4973373413086
r7---sn-3c27sne7.googlevideo.com 335.2169990539551
r3---sn-vgqs7nlr.googlevideo.com 212.52894401550293
r3---sn-1gi7znes.googlevideo.com 286.4375114440918
r2---sn-hgn7yn76.googlevideo.com 309.619665145874
r1---sn-2gb7sn7k.googlevideo.com 303.39717864990234
r16---sn-bvvbax-qxol7.googlevideo.com 189.7883415222168
r4---sn-nx5cvox-2hv6.googlevideo.com 206.76660537719727
r9---sn-bvvbax-hn26.googlevideo.com 217.69428253173828
r4---sn-vgqsrn7s.googlevideo.com 221.94409370422363
r2---sn-a5mlrn7y.googlevideo.com 148.78559112548828
r2---sn-a5mlrnes.googlevideo.com 148.88429641723633
r5---sn-t0a7sn7d.googlevideo.com 222.56135940551758
r2---sn-5goeen76.googlevideo.com 306.3793182373047
r5---sn-hp57knls.googlevideo.com 206.35318756103516
r5---sn-vgqsknls.googlevideo.com 211.8661403656006
r5---sn-nv47lnls.googlevideo.com 320.74880599975586
r2---sn-9gv7enek.googlevideo.com 190.3855800628662
r4---sn-a5meknsd.googlevideo.com 157.75561332702637
r4---sn-4g5e6nld.googlevideo.com 294.3282127380371
